Lemma,Soort,Standaard,Aangetroffen,URI
beeld,voorwerp,beeldje,beeltge,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldje,beeltie,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldje,beeltje,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldjes,beeldekens,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldjes,beeltgens,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldjes,beeltiens,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldjes,beeltjens,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeldjes,beeltjes,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,statue,statue,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeldhouwer,beroep,beeldhouwer,beelthouwer,https:/www.vondel.humanities.uva.nl/ecartico/occupations/19
beeldhouwer,beroep,beeldhouwer,beelthouder,https:/www.vondel.humanities.uva.nl/ecartico/occupations/19
beeldhouwer,beroep,beeldhouwers,beelthouwers,https:/www.vondel.humanities.uva.nl/ecartico/occupations/19
beeldhouwer,beroep,beeldhouwers,beelthouders,https:/www.vondel.humanities.uva.nl/ecartico/occupations/19
beeldsnijder,beroep,beeldsnijder,beeltsnijder,https:/www.vondel.humanities.uva.nl/ecartico/occupations/402
beeldsnijder,beroep,beeldsnijders,beeltsnijders,https:/www.vondel.humanities.uva.nl/ecartico/occupations/402
beeltenis,eigenschap,beeltenis,beeltenis,https://data.goldenagents.org/boedellexicon/eigenschap/beeltenis
beest,voorstelling,beest,,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beesten,beesten,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beestje,,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beestje,beesje,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beestjes,beestiens,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beestjes,beestjens,https://data.goldenagents.org/boedellexicon/voorstelling/beest
beest,voorstelling,beestjes,beestjes,https://data.goldenagents.org/boedellexicon/voorstelling/beest
bef,voorwerp,bef,beff,https://data.goldenagents.org/boedellexicon/voorwerp/bef
bef,voorwerp,beffen,beffen,https://data.goldenagents.org/boedellexicon/voorwerp/bef
bef,voorwerp,befje,befgen,https://data.goldenagents.org/boedellexicon/voorwerp/bef
