Standaard,Aangetroffen
japon,Japon
japon,Japon
Japanse,Japonse
Jefta,Jefpta
Hiëronymus,Jeronimus
Jezus,Jesu
Jezus,Jesus
Jezus,Jhesus
Johannes,Joannes
juffrouwstronietje,joffrouwstronytge
Joris,Joris
Jozef,Joseph
juffer,Juffer
juffer,Juffer
juffersgezelschapje,Juffersgeselschapje
juwelenkoffertje,juweelcoffertjen
juwelenkoffertje,Juweelkoffertje
juweeltje,Juweeltje
juwelen,Juwelen
kaas,Kaas
kabas,Kabas
kabasbakjes,Kabasbakies
kabasjes,Kabasjes
kabelring,kabelringh
kabinetje,Kabinetje
kachel,Kachel
kakstoel,Kackstoel
kakstoeltje,Kackstoeltie
kaarslade,Kaersla
kaarslade,Kaerslade
kaarslade,kaerslae
kaartjes,kaertiens
kaartje,Kaertje
kaasbakje,Kaesbackje
kornetmutsen,kametmutsen
kornetmutsen,karnetmutsen
kornetmutsen,cornetmutsen
kornetmuts,cornetmuts
kammenkokertje,Kammekoockertje
kan,Kan
kandelaar,kandelaar
kandelaars,Kandelaars
kandelaar,Kandelaer
kandelaars,Kandelaers
kan,Kanne
kannenbord,Kannebord
