eersten	23528		23528	0.000315031	ngram	1	0.000325528
tien	23500		23500	0.000314657	ngram	1	0.000325141
Coopman	23477		23477	0.000314349	ngram	1	0.000324823
Gedaen	23476		23476	0.000314335	ngram	1	0.000324809
Junij	23458		23458	0.000314094	ngram	1	0.00032456
Testateur	23067		23067	0.000308859	ngram	1	0.00031915
lasten	22967		22967	0.00030752	ngram	1	0.000317766
zyn	22935		22935	0.000307091	ngram	1	0.000317324
comparanten	22891		22891	0.000306502	ngram	1	0.000316715
Amstelredamme	22885		22885	0.000306422	ngram	1	0.000316632
haere	22874		22874	0.000306275	ngram	1	0.00031648
7	22705		22705	0.000304012	ngram	1	0.000314141
Julij	22606		22606	0.000302686	ngram	1	0.000312772
verklaarde	22515		22515	0.000301468	ngram	1	0.000311513
15	22332		22332	0.000299017	ngram	1	0.000308981
dezelve	22321		22321	0.00029887	ngram	1	0.000308829
Belovende	22296		22296	0.000298535	ngram	1	0.000308483
vollen	22284		22284	0.000298375	ngram	1	0.000308317
laste	22270		22270	0.000298187	ngram	1	0.000308123
zullen	22233		22233	0.000297692	ngram	1	0.000307611
Mr.	22227		22227	0.000297612	ngram	1	0.000307528
ieder	22224		22224	0.000297571	ngram	1	0.000307486
seven	22156		22156	0.000296661	ngram	1	0.000306546
-	22096		22096	0.000295857	ngram	1	0.000305715
Juffr	22082		22082	0.00029567	ngram	1	0.000305522
Interessen	21851		21851	0.000292577	ngram	1	0.000302326
betalen	21774		21774	0.000291546	ngram	1	0.00030126
Amst	21729		21729	0.000290943	ngram	1	0.000300638
getuigen	21624		21624	0.000289538	ngram	1	0.000299185
bevonden	21441		21441	0.000287087	ngram	1	0.000296653
dewelke	21270		21270	0.000284798	ngram	1	0.000294287
beijde	21240		21240	0.000284396	ngram	1	0.000293872
verclaert	21186		21186	0.000283673	ngram	1	0.000293125
meerder	21159		21159	0.000283311	ngram	1	0.000292751
Ter	21146		21146	0.000283137	ngram	1	0.000292571
komen	21111		21111	0.000282669	ngram	1	0.000292087
Compe	21034		21034	0.000281638	ngram	1	0.000291022
aldaer	20957		20957	0.000280607	ngram	1	0.000289957
huijsvrouw	20953		20953	0.000280553	ngram	1	0.000289901
Schip	20896		20896	0.00027979	ngram	1	0.000289113
hr	20888		20888	0.000279683	ngram	1	0.000289002
waren	20873		20873	0.000279482	ngram	1	0.000288794
